Feature,Mean_SHAP,Mean_|SHAP|,Feature_Type
word:demanded more,0.08778278,0.08778278,word
word:demanded,0.017534902,0.017534902,word
char:d me ,0.005776021,0.005776021,char
word:security,0.004038833,0.004038833,word
sbert_dim_28,0.0027379214,0.0027379214,other
sbert_dim_122,0.00212571,0.00212571,other
char:nce,0.0019318832,0.0019318832,char
sbert_dim_102,0.0019315748,0.0019315748,other
word:when,0.0017679894,0.0017679894,word
word:number is,0.0017356345,0.0017356345,word
char:r t,0.0015331007,0.0015331007,char
word:more money and,0.0015110739,0.0015110739,word
char:app a,0.0014512938,0.0014512938,char
char:ling ,0.0014293974,0.0014293974,char
char:time,0.001124859,0.001124859,char
char:how,0.0010707182,0.0010707182,char
char: ac,0.0010656031,0.0010656031,char
"char:,000 ",0.001054388,0.001054388,char
word:wanted,0.0009544716,0.0009544716,word
sbert_dim_113,0.0009542005,0.0009542005,other
